,geo,indicator_name,indicator,country,income,region,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
52,slv,population,pop,El Salvador,Lower middle income,americas,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248000,248154,248465,248933,249562,250354,251310,252432,253724,255187,256823,258634,260623,262793,265145,267682,270406,273321,276427,279728,283227,286925,290672,294467,298312,302208,306154,310152,314202,318305,322461,326704,331035,335455,339967,344572,349272,354068,358962,363956,369053,374261,379575,384997,390529,396173,401931,407805,413797,419910,426145,432504,438956,445505,452150,458894,465737,472681,479729,486880,494137,501502,508975,516188,523878,531682,539602,547282,555431,563700,572093,580273,588912,597680,606270,615297,624457,633478,642909,652481,662195,672054,682059,692214,702519,712978,724013,735701,748029,761075,774733,789082,802616,818682,835633,853450,871712,889285,908328,927772,947617,967597,988312,1009695,1031413,1053466,1076187,1099243,1122936,1146970,1171634,1196770,1222226,1248222,1274772,1301886,1329577,1357857,1386739,1416235,1446358,1477122,1508540,1540627,1573396,1606862,1641040,1675944,1711592,1747997,1785177,1823147,1861926,1901529,1941974,1983280,2025464,2068546,2112543,2157477,2199898,2236576,2278307,2324559,2374972,2429333,2487586,2549826,2616277,2687233,2762899,2843240,2927857,3015887,3106186,3197863,3290411,3383701,3477742,3572707,3668595,3765166,3861931,3958323,4053713,4147525,4239675,4329964,4417516,4501316,4580704,4655364,4725720,4792903,4858532,4923860,4988943,5053714,5119035,5185943,5254984,5326657,5400331,5474000,5544945,5611115,5671925,5727755,5778706,5825187,5867626,5905962,5940303,5971535,6000775,6028961,6056478,6083475,6110301,6137276,6164626,6192560,6221246,6250777,6281189,6312478,6344722,6377853,6411558,6445405,6479066
53,gnq,population,pop,Equatorial Guinea,Upper middle income,africa,80377,80377,80377,80377,80377,80377,80377,80377,80377,80377,80377,80390,80415,80453,80505,80569,80646,80736,80838,80954,81084,81226,81381,81550,81732,81927,82136,82358,82594,82843,83105,83381,83658,83936,84215,84495,84776,85058,85340,85624,85909,86194,86481,86768,87056,87346,87636,87927,88219,88512,88807,89108,89410,89714,90018,90324,90630,90938,91246,91556,91867,92179,92491,92805,93120,93436,93753,94071,94391,94711,95032,95355,95679,96000,96326,96652,96980,97306,97636,97968,98300,98631,98966,99302,99636,99974,100313,100652,100993,101336,101680,102025,102371,102718,103067,103417,103768,104120,104473,104828,105183,105540,105896,106256,106616,106978,107341,107703,108068,108435,108803,109171,109542,109913,110286,110661,111036,111413,111781,112152,113670,116376,120316,124389,128600,132953,137454,142107,146917,151890,157032,162348,166083,168180,168578,168978,169378,169780,170182,170585,170989,171395,173681,177920,184184,190669,197382,204331,211525,218973,225537,230717,233853,235883,237547,239375,241670,244553,247932,251601,255323,258947,262590,266598,271457,277396,284868,293440,301353,306233,306515,301666,292585,281021,269426,259747,252194,246677,244485,247078,255325,270063,290617,314475,338086,358896,376024,390173,402326,414138,426846,440624,455148,470610,487140,504871,523999,544636,566673,589938,614323,639762,666407,694611,724817,757317,792217,829327,868418,909111,951104,994290,1038593,1083746,1129424,1175389,1221490,1267689,1313894,1360104,1406280
54,eri,population,pop,Eritrea,Low income,africa,205010,205010,205010,205010,205010,205010,205010,205010,205010,205010,205010,205140,205401,205796,206325,206992,207797,208742,209830,211062,212440,213967,215643,217472,219455,221593,223890,226348,228967,231752,234703,237823,240985,244189,247435,250724,254058,257435,260857,264325,267839,271400,275008,278664,282369,286123,289926,293781,297686,301644,305654,309713,313825,317992,322214,326493,330828,335221,339672,344182,348752,353383,358075,362830,367647,372529,377476,382488,387566,392713,397927,403211,408565,413749,419243,424810,430451,435938,441727,447592,453535,459344,465443,471623,477691,484034,490461,496800,503397,510081,516854,523716,530670,537717,544857,552091,559422,566850,574377,582003,589731,597562,605320,613358,621502,629755,638116,646326,654908,663604,672416,681265,690311,699477,708765,718176,727712,737374,747181,757114,767180,777379,787713,798185,808797,819549,830444,841484,852671,864007,875493,887132,898926,910877,922986,935256,947690,960289,973055,985991,999099,1012381,1025840,1039478,1053297,1067300,1081489,1095866,1110435,1125197,1142148,1159798,1179537,1201124,1224384,1249193,1275534,1303420,1332953,1364276,1397491,1432640,1469645,1508273,1548187,1589179,1631147,1674204,1718525,1764343,1811878,1861199,1912302,1965160,2019717,2075965,2133723,2193068,2254450,2318495,2385540,2454766,2525521,2598410,2674289,2753151,2837111,2924349,3006361,3071771,3113311,3127297,3118582,3099047,3085443,3090159,3116379,3161350,3224223,3302263,3392801,3497124,3614639,3738265,3858623,3969007,4066648,4153332,4232636,4310334,4390840,4474690,4560977,4650998,4746045,4846976,4954645,5068831,5187948,5309659,5432216
55,est,population,pop,Estonia,High income,europe,334136,334136,334136,334136,334136,334136,334136,334136,334136,334136,334136,334283,334577,335021,335616,336362,337263,338318,339529,340899,342427,344116,345968,347983,350163,352510,355025,357710,360566,363596,366799,370179,373590,377033,380507,384013,387552,391123,394727,398365,402035,405740,409479,413252,417060,420903,424782,428696,432646,436633,440656,444711,448803,452933,457100,461306,465551,469835,474158,478521,482924,487368,491852,496378,500945,505555,510207,514901,519639,524421,529246,534116,539031,543838,548842,553892,558989,563990,569180,574417,579702,584905,590287,595719,601082,606613,612195,617724,623408,629145,634934,640776,646672,652622,658627,664688,670804,676976,683206,689492,695836,702239,708601,715122,721702,728343,735044,741662,748487,755374,762324,769296,776374,783518,790728,798004,805347,812757,820250,827808,835436,843134,850904,858744,866658,874643,882703,890837,899046,907330,915691,924129,932644,941238,949911,958665,967498,976414,985411,994491,1003655,1012904,1022237,1031657,1041163,1050757,1060440,1070211,1080073,1090025,1100995,1113247,1125240,1136904,1148213,1159231,1170101,1181019,1192253,1204108,1216819,1230499,1245076,1260213,1275437,1290396,1304987,1319245,1333176,1346818,1360202,1373306,1386068,1398471,1410467,1422042,1433178,1443889,1454273,1464416,1474436,1483873,1492641,1501420,1511199,1522397,1536033,1551208,1564192,1569971,1565242,1548215,1520810,1488059,1457093,1433024,1417736,1409674,1406350,1403789,1399112,1391729,1382732,1372909,1363565,1355648,1349297,1344072,1339712,1335830,1332102,1328449,1324934,1321560,1318359,1315321,1312442,1309632,1306788,1303798,1300559
56,eth,population,pop,Ethiopia,Low income,africa,2948990,2948990,2948990,2948990,2948990,2948990,2948990,2948990,2948990,2948990,2948990,2950984,2955000,2961066,2969213,2979469,2991864,3006429,3023195,3042192,3063453,3087009,3112894,3141140,3171781,3204850,3240383,3278414,3318979,3362114,3407854,3456238,3505309,3555076,3605550,3656741,3708658,3761313,3814715,3868876,3923805,3979514,4036014,4093316,4151432,4210373,4270151,4330778,4392265,4454625,4517871,4580756,4644517,4709165,4774712,4841171,4908555,4976877,5046149,5116384,5187597,5259801,5333010,5407237,5482496,5558803,5636171,5714616,5794152,5874795,5956559,6039461,6123516,6204635,6290988,6378543,6467315,6553418,6644624,6737098,6830859,6922257,7018594,7116270,7211963,7312329,7414092,7514285,7618857,7724884,7832385,7941383,8051896,8163947,8277556,8392746,8509538,8627954,8748018,8869752,8993179,9118323,9242147,9370754,9501150,9633360,9767408,9898731,10036470,10176126,10317724,10459906,10605451,10753020,10902642,11054345,11208158,11364110,11526529,11690180,11856154,12024485,12195205,12368350,12543952,12722048,12902673,13085861,13271651,13460079,13651181,13844997,14041565,14240923,14443112,14648172,14856143,15067067,15280985,15497940,15717976,15941136,16167464,16397006,16629806,16865912,17105370,17348227,17594533,17844336,18128034,18466968,18819700,19184292,19560016,19947292,20347813,20764450,21201034,21661996,22151278,22671190,23221389,23798429,24397024,25013626,25641376,26281208,26946079,27654161,28415077,29245207,30132580,31025115,31851708,32566821,33146891,33622390,34068316,34590226,35264898,36120288,37136848,38285883,39518801,40800343,42120730,43493283,44932064,46458913,48086516,49821083,51647768,53532956,55431123,57309880,59155148,60976450,62794151,64640054,66537331,68492257,70497192,72545144,74624405,76727083,78850689,81000409,83184892,85416253,87702670,90046756,92444183,94887724,97366774,99873033,102403196,104957438,107534882,110135635,112759070
57,fji,population,pop,Fiji,Upper middle income,asia,130533,130746,130959,131172,131386,131600,131815,132029,132244,132460,132682,132899,133115,133332,133549,133767,133985,134203,134422,134641,134860,135080,135300,135521,135742,135963,136184,136406,136629,136851,137074,137298,137521,137746,137939,138101,138231,138331,138401,138439,138446,138427,138381,138309,138210,138085,137934,137756,137551,137321,137063,136781,136472,136136,135775,135418,135067,134721,134380,134044,133713,133387,133062,132738,132414,132092,131770,131449,131129,130809,130490,130172,129841,129520,129173,128811,128433,128099,127699,127282,126849,126471,126004,125518,125071,124538,124021,123447,122938,122474,122055,121681,121351,121066,120825,120628,120484,120563,120825,121271,121905,122730,123244,124512,126020,127771,129757,131700,133747,135825,137824,139870,141667,143301,144953,146625,148316,150026,151755,153504,155274,157276,159518,162004,164529,167094,169699,172344,175031,177759,180530,183344,186202,189105,192053,195047,198881,203592,209214,214992,220929,227030,233300,239742,246363,253167,260086,267122,274276,281622,288988,296209,304814,314351,324482,334976,345744,356820,368319,380451,393386,407156,421577,436208,450450,463883,476324,487913,498892,509658,520529,531601,542814,554107,565388,576595,587520,598259,609345,621538,635255,650955,668198,685391,700366,711661,718548,721725,722917,724624,728628,735473,744531,755026,765667,775498,784476,792860,800315,806494,811223,814218,815691,816628,818354,821817,827411,834812,843340,851967,859950,867086,873596,879715,885806,892149,898760,905502,912241,918757,924915
58,fin,population,pop,Finland,High income,europe,977662,986439,995294,1004229,1013244,1022340,1031517,1040777,1050120,1059547,1070625,1080546,1090811,1101463,1112452,1123822,1135520,1148781,1162363,1176310,1190807,1205328,1219583,1233614,1247371,1260849,1274234,1287617,1301042,1314457,1327905,1341571,1355381,1369333,1383476,1397810,1412238,1426762,1440143,1453667,1467238,1480476,1493714,1507286,1521095,1535190,1549524,1564000,1578571,1593143,1607810,1622720,1637869,1653018,1668167,1683269,1697751,1710901,1720574,1727390,1734253,1741784,1750219,1759512,1769518,1780287,1791961,1804587,1817928,1832174,1847467,1863380,1879769,1889842,1906534,1923964,1942657,1959015,1987849,2017565,2047576,2076167,2106711,2137723,2167729,2199356,2232984,2264486,2294680,2329330,2358342,2387446,2417005,2447018,2476850,2505500,2533059,2559618,2582813,2610555,2633387,2661129,2689730,2715522,2741870,2769997,2799124,2826785,2860202,2895020,2930438,2963656,2996341,3026692,3055043,3081060,3104743,3118758,3122755,3125756,3140760,3171767,3208443,3242451,3273792,3305799,3337807,3368481,3396821,3423828,3450501,3476841,3502514,3526853,3551192,3576198,3601871,3628544,3656884,3680890,3696227,3703562,3711231,3722233,3738904,3767244,3808588,3859933,3912279,3962293,4008294,4050492,4096554,4144297,4191979,4238275,4282379,4323921,4362913,4399674,4434590,4467773,4498817,4526746,4550239,4568598,4581115,4588656,4594024,4601033,4612366,4629380,4651172,4675456,4698779,4718749,4734437,4746932,4758252,4771345,4788243,4809813,4835100,4862178,4888204,4911220,4930341,4946373,4961087,4977115,4996222,5019125,5044925,5071789,5097097,5119005,5136979,5151746,5164242,5175926,5187954,5200479,5213373,5227103,5242185,5258927,5277570,5298014,5319902,5342646,5365782,5389242,5412980,5436616,5459717,5481966,5503132,5523231,5542517,5561389,5580127
59,fra,population,pop,France,High income,europe,29355111,29447067,29539311,29631843,29724666,29817780,29911185,30004882,30098874,30193159,30293172,30393405,30499974,30612625,30731442,30856458,30985993,31120079,31258751,31402043,31549988,31700048,31853161,32007457,32163920,32322538,32485056,32651510,32821931,32996353,33174810,33356190,33535143,33711000,33884048,34054190,34219857,34382762,34542857,34700095,34854476,35005857,35156810,35306381,35456429,35606000,35751714,35891810,36026238,36154952,36277905,36397736,36516194,36636137,36755611,36875046,36989679,37105320,37219540,37354250,37461341,37528424,37586889,37649074,37712549,37778268,37846183,37919725,37999323,38083025,38170354,38261787,38355895,38432199,38518440,38604530,38692943,38738811,38797147,38883809,39014052,39174316,39306482,39427511,39566810,39662138,39746997,39853877,39916881,39971423,40015500,40058669,40104664,40159219,40217603,40273077,40331468,40399333,40472940,40551287,40628637,40706903,40789607,40843223,40900293,40958592,41025021,41066651,41135004,41209573,41294570,41383848,41465114,41523003,41231122,40705028,39975434,39328983,38932953,38836731,39069935,39310489,39604499,39961988,40359570,40690331,40900816,41047821,41168098,41391946,41662569,41873054,41966603,41996672,42023400,42030082,42023400,42030082,42026741,41716026,40927544,40092288,39424083,39190212,39290442,39721434,40316137,40787221,41184803,41569624,41879605,42070919,42365579,42724223,43117846,43527762,43946212,44375735,44827610,45319110,45865396,46470824,47121382,47781402,48402837,48952255,49411387,49791935,50127143,50466394,50843829,51273470,51739837,52212314,52646198,53010730,53295791,53516213,53696453,53872444,54070817,54298045,54547688,54817832,55102743,55397482,55704494,56024508,56348214,56663204,56960835,57237702,57496974,57744820,57990661,58241791,58499689,58763395,59034921,59316107,59608201,59911252,60225076,60550097,60886607,61233900,61592884,61960950,62329567,62687521,63026740,63343577,63639873,63919917,64190638,64457201,64720690,64979548,65233271,65480710,65721165
60,gab,population,pop,Gabon,Upper middle income,africa,158227,158227,158227,158227,158227,158227,158227,158227,158227,158227,158227,158290,158417,158609,158865,159186,159574,160028,160549,161137,161794,162520,163315,164180,165115,166121,167199,168350,169573,170870,172241,173686,175144,176614,178097,179592,181099,182619,184152,185697,187256,188828,190412,192011,193622,195247,196886,198539,200205,201885,203580,205324,207084,208858,210647,212452,214273,216109,217960,219828,221711,223611,225527,227459,229408,231373,233356,235355,237372,239405,241457,243525,245612,247658,249780,251920,254079,256202,258397,260611,262843,265046,267317,269607,271872,274202,276551,278881,281270,283680,286110,288561,291034,293527,296041,298578,301136,303715,306317,308941,311588,314257,316913,319628,322366,325127,327913,330668,333501,336358,339239,342129,345060,348016,350997,354004,357036,360095,363097,366144,369217,372316,375441,378592,381770,384974,388206,391464,394749,398063,401404,404773,408170,411596,415051,418534,422047,425590,429162,432764,436396,440059,443752,447477,451233,455020,458839,462690,466574,470490,473298,475865,477711,479237,480767,482560,484782,487536,490870,494751,499184,504167,509806,516265,523789,532511,542557,553823,565873,578108,590118,601731,613123,624621,636696,649716,663770,678774,694732,711533,729159,747587,766855,787013,808083,830085,853027,876863,901458,926622,952212,978223,1004676,1031504,1058663,1086137,1113994,1142324,1171224,1200773,1231122,1262259,1294409,1328146,1364205,1403126,1444844,1489193,1536411,1586754,1640210,1697101,1756817,1817271,1875713,1930175,1979786,2025137,2067561,2109099,2151289
61,gmb,population,pop,Gambia,Low income,africa,103274,103274,103274,103274,103274,103274,103274,103274,103274,103274,103274,103311,103384,103495,103644,103830,104054,104317,104618,104958,105337,105756,106215,106714,107253,107833,108454,109116,109820,110566,111354,112185,113021,113864,114714,115569,116432,117300,118175,119056,119945,120839,121741,122649,123564,124485,125414,126349,127292,128241,129198,130163,131135,132114,133100,134094,135096,136104,137121,138145,139176,140215,141262,142317,143380,144451,145529,146616,147711,148814,149925,151044,152172,153280,154425,155578,156740,157884,159063,160251,161447,162629,163843,165067,166278,167520,168771,170012,171282,172561,173849,175147,176455,177773,179100,180438,181785,183142,184510,185888,187276,188674,190066,191485,192915,194355,195807,197243,198716,200200,201695,203194,204711,206239,207779,209331,210894,212469,214053,215650,217258,218879,220512,222157,223814,225483,227165,228860,230567,232287,234019,235765,237524,239295,241080,242879,244690,246515,248354,250207,252073,253953,255848,257756,259679,261616,263567,265533,267514,269509,271377,272720,276773,283505,292713,304029,316907,330600,344265,356968,367928,376737,383523,389072,394553,400861,408180,416339,425510,435798,447285,460194,474539,489861,505512,521070,536409,551817,567831,585157,604369,625411,648210,673238,701104,732096,766589,804125,843050,881138,916808,949493,979718,1008358,1036829,1066223,1096708,1128169,1160944,1195420,1231844,1270495,1311349,1354194,1398573,1444204,1491021,1539116,1588572,1639560,1692149,1746363,1802125,1859324,1917852,1977590,2038501,2100568,2163765,2228075,2293493
62,geo,population,pop,Georgia,Lower middle income,europe,1072178,1072178,1072178,1072178,1072178,1072178,1072178,1072178,1072178,1072178,1072178,1072648,1073592,1075014,1076919,1079312,1082197,1085577,1089459,1093846,1098744,1104156,1110088,1116544,1123530,1131050,1139108,1147711,1156862,1166568,1176832,1187661,1198590,1209619,1220750,1231983,1243319,1254760,1266306,1277958,1289717,1301585,1313562,1325649,1337847,1350158,1362582,1375120,1387773,1400543,1413431,1426385,1439458,1452651,1465965,1479401,1492960,1506643,1520452,1534387,1548450,1562642,1576964,1591417,1606003,1620722,1635576,1650567,1665695,1680961,1696367,1711915,1727605,1742952,1758926,1775047,1791316,1807279,1823843,1840559,1857428,1874032,1891208,1908541,1925656,1943305,1961116,1978758,1996894,2015196,2033665,2052304,2071114,2090096,2109252,2128584,2148093,2167780,2187648,2207698,2227932,2248352,2268641,2289433,2310416,2331592,2352961,2374062,2395820,2417778,2439938,2462162,2484728,2507501,2530483,2553675,2577080,2600699,2624662,2648813,2673187,2697785,2722609,2747662,2772945,2798461,2824212,2850200,2876427,2902895,2929606,2956564,2983770,3011225,3038934,3066897,3095118,3123599,3152341,3181348,3210622,3240166,3269981,3300070,3330437,3361083,3392010,3423223,3454722,3486512,3527008,3555870,3588619,3625601,3667064,3713121,3763763,3818847,3878127,3941233,4007713,4077069,4148730,4222142,4296656,4371521,4446824,4521709,4593305,4658000,4713322,4758145,4793550,4822160,4847853,4873619,4900179,4927244,4955501,4985563,5017818,5051225,5085514,5122384,5164137,5211441,5266826,5327228,5380909,5412147,5410372,5370649,5298086,5204634,5107674,5020061,4945566,4881248,4825186,4773169,4722059,4672162,4624880,4579082,4533329,4486547,4438896,4390535,4340514,4287696,4231661,4171256,4107719,4045910,3992346,3951524,3925405,3912061,3907131,3904204,3898529
63,deu,population,pop,Germany,High income,europe,22886919,22983824,23081140,23178868,23277009,23375566,23474540,23573934,23673748,23773985,23882461,23995464,24120997,24258514,24407472,24568091,24738969,24918705,25107565,25304387,25507768,25717690,25934798,26159739,26392682,26635940,26889160,27152273,27427211,27715333,28016571,28329429,28640238,28948143,29254095,29560571,29865762,30164190,30451810,30733333,31016143,31302333,31588381,31868714,32141571,32404190,32657762,32909048,33159762,33410619,33663143,33927904,34193034,34462346,34737514,35015014,35287403,35556682,35827335,36108631,36397475,36683214,36965607,37252542,37554073,37871986,38215925,38579928,38956061,39342371,39733401,40120427,40502866,40857162,41232471,41609095,41989636,42368902,42775222,43192453,43628512,44090973,44553529,45021589,45464104,45914694,46365430,46772249,47250164,47754942,48286518,48859122,49467999,50108296,50776905,51469146,52189755,52944860,53733295,54554908,55400945,56263935,57133064,58011692,58891707,59778546,60668250,61550144,62436738,63350674,64213148,65100922,65863879,66651198,67278503,67648794,67558517,67242967,65348955,63687827,62437802,62899397,63381462,63764930,64196844,64648204,65100588,65519196,65897547,66259522,66610921,66944238,67265956,67602344,67996388,68447407,68932542,69508086,70168921,70852614,71427817,71955938,72152449,72023148,70715125,68759231,67472701,67573345,68703621,69482158,69966243,70299358,70619499,70929259,71233131,71537537,71850980,72183916,72548042,72955244,73414427,73928048,74489142,75080047,75676011,76255926,76816337,77352662,77841435,78254626,78572984,78786608,78901707,78936165,78917220,78866498,78794496,78701801,78589311,78454848,78300650,78126104,77944848,77790080,77704336,77717431,77837500,78054086,78354017,78715610,79118326,79564454,80046157,80520088,80931041,81240604,81426337,81499866,81499232,81481612,81487757,81535848,81611868,81686495,81715659,81671234,81540353,81344457,81130944,80965612,80894785,80933980,81066228,81265139,81489660,81707789,81914672,82114224,82293457,82438639,82540450
64,gha,population,pop,Ghana,Lower middle income,africa,2016034,2016034,2016034,2016034,2016034,2016034,2016034,2016034,2016034,2016034,2016034,2015566,2014632,2013235,2011377,2009060,2006286,2003057,1999376,1995246,1990667,1985643,1980175,1974266,1967917,1961132,1953912,1946259,1938175,1929662,1920723,1911360,1902042,1892770,1883543,1874361,1865224,1856131,1847083,1838078,1829118,1820201,1811328,1802498,1793711,1784967,1776265,1767606,1758989,1750414,1741881,1733408,1724976,1716585,1708235,1699925,1691656,1683427,1675238,1667089,1658980,1651728,1645335,1639802,1635129,1631317,1628367,1626280,1625057,1624699,1625206,1626580,1628822,1627838,1632115,1637350,1643543,1648818,1657727,1667707,1677746,1687685,1697844,1708065,1718204,1728547,1738953,1749295,1759826,1770420,1781078,1791800,1802586,1813438,1824354,1835337,1846385,1857500,1868682,1879932,1891249,1902634,1913973,1925495,1937086,1948747,1960478,1972115,1983987,1995930,2007946,2019985,2032145,2056896,2094619,2145706,2198038,2251647,2306530,2362760,2420361,2479366,2539809,2601726,2665152,2730125,2796681,2864860,2934702,3006245,3079533,3154608,3231513,3310292,3390992,3473660,3558343,3645090,3733952,3824980,3918228,4013748,4111598,4211833,4314511,4419692,4527438,4637811,4750874,4866693,4980875,5068436,5191219,5339182,5504254,5680410,5863686,6052159,6245646,6445283,6652287,6866539,7085464,7303432,7513289,7710549,7890992,8057444,8221020,8397347,8596983,8827273,9083573,9350111,9604276,9831407,10023472,10189890,10354499,10550777,10802028,11117605,11488106,11895125,12311158,12716228,13104296,13481406,13854214,14233874,14628260,15039514,15463854,15896432,16330174,16760467,17185608,17608812,18036494,18477612,18938762,19421605,19924522,20446782,20986536,21542009,22113425,22700212,23298640,23903831,24512104,25121796,25733049,26346251,26962563,27582821,28206728,28833629,29463643,30096970,30733755
65,grc,population,pop,Greece,High income,europe,2151155,2158925,2166723,2174549,2182403,2190286,2198197,2206136,2214105,2222102,2230659,2239319,2248656,2258621,2269262,2280576,2292610,2305315,2318737,2332875,2347727,2363292,2379617,2396700,2414539,2433133,2452481,2472628,2493575,2515318,2537857,2561238,2584857,2608667,2632714,2657000,2681476,2706143,2731095,2756238,2781619,2807238,2833095,2859190,2885524,2912095,2938905,2966000,2993190,3020762,3048571,3076542,3104748,3133238,3161963,3190972,3220217,3249792,3279650,3309602,3339979,3370782,3402059,3433809,3466032,3498729,3531898,3565589,3599753,3634580,3669784,3705510,3741756,3776423,3813760,3851672,3890159,3927579,3967492,4007871,4048718,4088856,4130502,4172545,4214031,4256952,4300254,4343113,4387323,4431983,4477093,4522653,4568754,4615305,4662306,4709757,4756297,4801835,4846371,4889814,4932256,4973606,5016737,5055117,5091941,5127322,5162921,5198162,5234265,5270166,5305864,5341759,5376454,5412144,5449160,5487504,5526176,5565178,5604813,5644705,5716843,5793302,5896357,5950543,5973149,5983786,6026005,6108116,6185573,6260038,6338159,6418276,6498060,6580503,6672587,6770654,6865398,6954489,7044246,7146303,7246365,7307200,7312852,7286922,7281271,7321495,7402941,7544890,7690495,7702796,7668794,7743251,7814593,7882997,7948525,8011124,8070644,8126805,8179268,8227654,8271788,8311808,8348332,8382605,8416193,8450504,8486428,8524555,8565665,8610472,8659795,8712683,8769758,8835139,8914176,9009917,9124755,9255380,9392113,9521672,9634504,9727724,9804166,9867161,9922431,9974739,10023374,10068281,10115853,10174169,10248537,10341892,10451417,10569422,10684818,10789375,10880912,10961123,11030393,11090266,11142119,11184398,11216799,11243567,11270476,11301204,11338770,11380897,11419647,11443828,11446005,11422805,11378257,11321300,11264726,11217800,11183716,11159773,11142161,11124603,11102572
66,grd,population,pop,Grenada,Upper middle income,americas,29409,29409,29409,29409,29409,29409,29409,29409,29409,29409,29409,29414,29425,29440,29461,29488,29519,29556,29598,29646,29699,29757,29821,29891,29965,30046,30132,30223,30320,30422,30530,30644,30758,30873,30987,31103,31219,31335,31452,31569,31686,31804,31912,32009,32097,32174,32240,32297,32343,32379,32404,32423,32461,32521,32603,32707,32834,32983,33156,33354,33576,33823,34082,34365,34671,35000,35354,35731,36133,36559,37010,37485,38013,38554,39101,39672,40267,40789,41409,42058,42735,43281,44048,44869,45582,46530,47519,48541,49628,50710,51787,52858,53921,54977,56025,57063,58092,59045,59949,60804,61608,62359,63214,63840,64393,64874,65280,65683,66094,66508,66820,67169,67244,67149,67054,66958,66863,66768,66666,66566,66466,66476,66598,66830,67063,67297,67531,67767,68003,68240,68478,68717,68956,69197,69438,69680,69923,70167,70412,70657,70903,71151,71399,71648,71897,72148,72698,73553,74719,75904,76681,76624,77137,78103,79432,81024,82800,84648,86493,88252,89869,91260,92425,93350,94066,94581,94875,94961,94868,94682,94426,94185,93934,93630,93152,92448,91437,90184,89073,88568,89005,90572,93091,95985,98439,99906,100143,99380,98062,96869,96283,96454,97198,98305,99405,100255,100796,101122,101309,101442,101619,101849,102100,102375,102656,102949,103259,103586,103930,104296,104677,105075,105481,105909,106360,106823,107317,107825,108339,108825,109308
67,gtm,population,pop,Guatemala,Lower middle income,americas,458965,464961,471035,477189,483423,489738,496136,502618,509184,515836,524190,531007,537881,544813,551803,558851,565959,573126,580352,587638,594985,602393,609861,617391,624983,632638,640354,648134,655977,663884,671855,679891,688022,696251,704579,713005,721533,730163,738895,747733,756676,765729,774894,784173,793566,803075,812701,822446,832312,842299,852410,862754,873226,883829,894565,905434,916439,927581,938862,950284,961848,973356,984800,996180,1007492,1018735,1029904,1040998,1052014,1062950,1073802,1084567,1095244,1106462,1116893,1127204,1137390,1147628,1157365,1166937,1176588,1186111,1195920,1205811,1215596,1225650,1235786,1245842,1256146,1266534,1277009,1287570,1298218,1308954,1319780,1330694,1341933,1353585,1365643,1378099,1390945,1404174,1416932,1431084,1445783,1460901,1476259,1491337,1506892,1522665,1538442,1554293,1570505,1586721,1603653,1620589,1637885,1655186,1672213,1689309,1706762,1724570,1742735,1760899,1779064,1797228,1815749,1834626,1853859,1873092,1899805,1937915,1987422,2033724,2076465,2115643,2161945,2208247,2254549,2300851,2350715,2404140,2454004,2503868,2553731,2610718,2674828,2746062,2824420,2966523,3114957,3212331,3311537,3413165,3517653,3625300,3736236,3850434,3967745,4087923,4210747,4336143,4464249,4595510,4730540,4869716,5013153,5160609,5311615,5465512,5621792,5780480,5941567,6104530,6268707,6433728,6599214,6765516,6933906,7106145,7283459,7466488,7654819,7847472,8042897,8240060,8438604,8639108,8842575,9050465,9263813,9483270,9708544,9938692,10172297,10408489,10646674,10887634,11133501,11387203,11650743,11924946,12208848,12500478,12796925,13096028,13397008,13700286,14006366,14316208,14630417,14948919,15271056,15596214,15923559,16252429,16582469,16913503,17245346,17577842,17910812
