,country,indicator_name,geo,indicator,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
65,Egypt,Child mortality (under age five),egy,u5mr,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.69,404.68,404.65,404.58,404.48,404.32,404.1,403.81,403.47,403.05,402.58,402.04,401.44,400.77,400.05,399.26,398.41,397.52,396.61,395.67,394.72,393.77,392.82,391.87,390.92,389.97,389.02,388.07,387.12,386.17,385.22,384.27,383.32,382.37,381.42,408.46,408.69,350.99,383.57,400.66,384.01,392.61,371.52,393.02,354.84,350.58,336.49,353.24,338.04,396.61,404.08,360.77,372.36,370.272,368.196,366.131,364.078,362.037,360.007,357.988,355.981,353.985,360.5,350.9,341.5,332.2,322.7,313.2,303.4,293.4,283.8,275.0,267.0,260.3,254.8,250.2,246.6,243.3,239.7,235.5,230.0,223.0,214.6,205.4,195.8,186.2,176.7,167.4,158.0,148.4,138.4,128.4,118.6,109.8,102.2,95.8,90.5,85.9,81.7,77.6,73.4,69.1,64.9,60.7,56.8,53.2,49.9,46.9,44.2,41.8,39.7,37.8,36.1,34.6,33.1,31.7,30.4,29.1,27.9,26.7,25.6,24.7,23.7,22.8,22.021,21.292,20.629,20.024
66,El Salvador,Child mortality (under age five),slv,u5mr,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.6,461.59,461.55,461.48,461.36,461.18,460.93,460.6,460.21,459.74,459.2,458.58,457.9,457.14,456.31,455.4,454.44,453.43,452.38,451.31,450.23,449.15,448.06,446.98,445.9,444.81,443.73,442.65,441.56,440.48,439.4,438.31,437.23,436.15,435.06,433.98,432.9,431.81,419.138,405.524,393.471,381.742,370.285,357.971,347.085,336.472,325.052,314.925,305.08,295.459,285.102,275.935,267.003,256.247,245.912,235.983,226.444,217.28,216.025,213.522,211.035,208.561,206.1,201.8,197.6,193.5,189.5,185.8,182.3,178.8,175.4,172.3,169.2,166.2,163.4,160.6,157.7,154.8,151.8,148.6,145.2,141.4,137.2,132.4,127.5,122.2,116.6,110.7,104.7,98.5,92.4,86.5,80.9,75.8,71.1,66.9,63.1,59.6,56.4,53.3,50.3,47.3,44.4,41.7,39.1,36.7,34.5,32.5,30.7,29.1,27.5,26.1,24.7,23.4,22.3,21.2,20.2,19.2,18.3,17.5,16.8,16.1,15.5,15.0,14.424,13.902,13.389,12.888
67,Equatorial Guinea,Child mortality (under age five),gnq,u5mr,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.51,446.5,446.47,446.4,446.28,446.11,445.86,445.55,445.16,444.71,444.19,443.59,442.93,442.2,441.39,440.52,439.59,438.61,437.6,436.56,435.51,434.47,433.42,432.37,431.32,430.27,429.23,428.18,427.13,426.08,425.04,423.99,422.94,421.89,420.84,419.8,418.75,417.7,415.938,414.181,412.436,410.685,408.938,407.194,405.464,403.728,401.995,400.266,398.54,396.828,395.109,393.394,391.683,380.618,369.783,359.198,347.758,337.659,335.958,332.566,329.193,325.842,322.511,319.201,315.912,312.645,309.401,306.179,302.982,299.809,296.657,293.527,290.411,287.304,284.205,281.11,278.02,274.999,272.127,269.407,266.775,264.119,261.176,257.633,253.331,248.246,242.485,236.335,230.201,224.465,219.4,215.2,210.9,207.0,202.8,198.7,194.6,190.7,186.8,182.8,178.9,175.2,171.4,167.6,163.7,159.7,155.6,151.6,147.5,143.4,139.2,135.0,130.8,126.6,122.5,118.4,114.4,110.6,107.0,103.7,100.4,97.1,94.0,90.9,88.681,86.216,83.867,81.621
68,Eritrea,Child mortality (under age five),eri,u5mr,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.12,441.11,441.08,441.01,440.89,440.72,440.48,440.17,439.79,439.34,438.82,438.24,437.58,436.86,436.06,435.2,434.28,433.31,432.31,431.29,430.26,429.22,428.18,427.15,426.11,425.08,424.04,423.01,421.97,420.94,419.9,418.87,417.83,416.8,415.76,414.73,413.69,412.66,411.792,410.934,410.065,409.205,408.334,407.472,406.599,405.736,404.861,403.996,403.12,402.253,401.375,400.506,399.626,385.578,373.059,359.713,347.807,335.105,333.131,328.942,324.271,319.118,313.492,307.43,300.984,294.252,287.405,280.642,274.165,268.169,262.769,257.97,253.652,249.592,245.525,241.249,236.701,231.888,226.897,221.904,217.051,212.4,208.2,204.0,200.0,196.6,193.3,190.4,187.6,184.8,181.7,178.5,174.9,171.2,166.9,162.1,156.8,150.9,144.6,137.8,130.8,123.9,117.0,110.6,104.5,98.9,93.7,88.9,84.4,80.3,76.4,72.7,69.2,65.9,62.9,60.0,57.4,55.2,53.1,51.1,49.3,47.6,45.9,44.5,41.181,38.881,36.667,34.567
69,Eritrea and Ethiopia,Child mortality (under age five),eri_a_eth,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Estonia,Child mortality (under age five),est,u5mr,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,362.15,359.8,357.45,356.28,353.98,351.67,349.37,348.22,345.92,343.64,341.38,340.25,337.99,335.73,333.47,332.37,330.15,327.93,325.72,324.61,322.4,320.22,318.04,316.96,314.78,312.61,310.45,309.38,307.25,305.11,302.98,301.91,299.8,297.7,295.6,294.52,292.38,290.21,290.1,288.91,288.71,284.35,279.96,275.59,271.2,266.81,263.41,259.0,254.61,250.23,245.84,241.51,237.19,232.91,228.69,224.48,220.35,217.14,213.06,209.05,205.06,201.13,197.23,193.36,190.38,186.57,183.63,179.92,177.04,173.4,170.59,167.01,164.26,160.76,158.05,154.62,150.48,151.509,152.545,153.589,154.639,155.697,156.762,157.834,158.913,160.0,155.449,151.026,146.73,142.556,138.501,122.204,107.825,95.138,83.943,74.066,65.351,57.661,50.876,44.89,45.06,39.87,35.88,35.58,36.22,29.98,28.76,27.82,28.0,25.93,27.16,26.31,24.14,24.33,26.68,26.22,26.44,27.2,25.52,27.69,22.5,21.7,20.9,20.1,19.5,19.0,18.6,18.3,18.1,17.8,17.7,17.6,17.4,17.0,16.5,15.7,14.8,13.9,12.9,12.0,11.0,10.2,9.3,8.5,7.8,7.1,6.5,5.9,5.4,5.0,4.5,4.2,3.9,3.6,3.3,3.1,2.9,2.957,2.902,2.85,2.798
71,Ethiopia,Child mortality (under age five),eth,u5mr,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.88,447.87,447.83,447.76,447.64,447.47,447.22,446.91,446.52,446.07,445.54,444.95,444.28,443.54,442.74,441.86,440.93,439.95,438.93,437.89,436.84,435.79,434.74,433.69,432.64,431.59,430.54,429.48,428.43,427.38,426.33,425.28,424.23,423.18,422.13,421.08,420.03,418.98,416.319,413.677,411.042,408.416,405.797,403.187,400.584,397.99,395.403,392.825,390.245,387.683,385.129,382.583,380.045,369.573,359.315,348.244,338.503,328.96,326.97,322.769,318.126,313.044,307.528,301.604,295.317,288.748,282.033,275.335,268.838,262.728,257.159,252.213,247.912,244.2,243.9,243.9,243.4,243.1,242.9,242.6,242.4,242.5,242.5,242.5,242.5,242.2,241.4,239.9,237.5,234.5,230.7,226.7,222.6,218.6,214.8,211.1,207.3,203.2,198.6,193.4,187.5,180.9,174.3,167.7,161.3,155.4,149.6,143.7,137.4,130.9,124.0,117.1,110.2,103.5,97.1,91.2,85.9,80.9,76.2,72.0,68.0,64.4,61.3,58.4,56.287,53.912,51.555,49.2
72,Faeroe Islands,Child mortality (under age five),fro,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Falkland Is (Malvinas),Child mortality (under age five),flk,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Fiji,Child mortality (under age five),fji,u5mr,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.88,498.87,498.83,498.75,498.62,498.43,498.15,497.8,497.37,496.86,496.28,495.62,494.87,494.05,493.16,492.18,491.14,490.05,488.92,487.76,486.59,485.42,484.25,483.08,481.91,480.74,479.56,478.39,477.22,476.05,474.88,473.71,472.54,457.55,442.96,428.76,414.94,401.46,392.149,382.895,373.709,364.598,355.521,346.515,337.559,328.648,319.79,310.971,287.946,266.604,246.825,228.496,211.513,195.777,181.199,167.694,155.186,143.6,133.6,124.4,116.1,108.7,102.0,95.9,90.6,85.8,81.5,77.6,74.2,71.2,68.5,66.0,63.9,62.1,60.6,59.4,58.4,57.6,57.0,56.4,55.8,55.0,53.9,52.4,50.6,48.5,46.3,44.0,41.7,39.7,37.8,36.1,34.6,33.2,32.0,30.7,29.6,28.4,27.4,26.4,25.5,24.8,24.2,23.7,23.3,23.0,22.6,22.4,22.2,22.2,22.3,22.6,23.1,23.5,23.8,24.1,24.2,24.1,23.9,23.7,23.4,23.0,22.5,22.0,21.105,20.462,19.865,19.313
75,Finland,Child mortality (under age five),fin,u5mr,420.04,420.04,420.04,420.04,420.04,420.04,414.89,409.79,404.69,399.7,394.71,389.77,384.88,379.99,375.2,370.41,368.01,364.49,362.15,358.63,355.13,352.82,349.37,347.07,343.64,340.25,344.77,349.37,353.98,357.45,362.15,366.84,371.61,375.2,379.99,384.88,377.6,370.41,364.49,357.45,350.52,343.64,336.86,331.26,324.61,318.04,323.5,330.15,335.73,341.38,348.22,353.98,359.8,366.84,372.81,378.8,382.44,379.542,376.666,373.812,370.98,368.169,365.379,362.61,359.863,357.136,354.43,362.47,636.6,225.92,218.46,225.92,281.07,299.15,294.24,277.76,265.2,261.86,311.11,240.93,288.06,319.17,298.72,263.01,264.8,288.08,287.66,225.92,231.76,234.5,238.37,269.39,293.76,241.35,228.75,202.52,215.98,199.56,207.96,240.99,269.6,256.28,214.76,212.26,201.26,216.25,204.98,194.59,207.28,185.0,191.21,182.86,173.54,175.2,166.76,167.87,176.74,191.82,214.47,225.0,180.44,140.25,145.4,144.82,157.32,121.74,120.11,139.53,122.2,138.56,106.36,101.939,98.54,104.107,104.292,90.581,89.332,90.179,87.506,92.427,105.468,83.332,68.507,70.908,92.097,86.986,66.12,65.358,55.213,48.942,42.92,42.0,40.5,38.9,37.3,35.7,34.0,32.3,30.4,28.6,26.8,25.2,23.8,22.5,21.3,20.2,19.3,18.4,17.6,16.8,16.1,15.4,14.6,13.8,13.1,12.2,11.4,10.6,9.9,9.2,8.7,8.2,7.9,7.6,7.4,7.3,7.3,7.2,7.1,6.9,6.7,6.4,6.1,5.8,5.5,5.2,4.9,4.7,4.6,4.4,4.3,4.2,4.1,4.0,3.9,3.8,3.6,3.5,3.3,3.2,3.0,2.9,2.8,2.6,2.5,2.4,2.3,2.075,1.946,1.846,1.772
76,France,Child mortality (under age five),fra,u5mr,412.34,407.24,400.95,395.95,390.99,384.88,379.99,367.658,355.727,344.183,333.014,322.207,311.75,301.633,291.845,282.374,273.21,283.46,293.69,312.23,284.84,287.32,309.36,289.22,305.64,305.66,303.66,284.46,312.83,284.31,282.91,283.54,297.95,286.52,338.03,277.27,259.08,274.1,286.52,268.01,260.74,262.52,270.09,268.87,251.89,236.87,271.56,258.15,264.83,301.09,238.14,262.06,265.08,244.45,298.0,278.66,268.57,285.45,282.45,347.28,243.26,291.09,258.3,275.21,264.87,283.25,253.28,263.45,288.41,273.62,300.31,343.93,254.87,266.96,241.74,245.72,240.4,237.05,249.49,235.4,257.0,244.14,248.36,247.89,259.99,240.22,250.02,242.63,241.77,229.48,250.64,235.51,250.17,249.0,226.33,228.19,203.2,206.97,228.46,234.25,223.98,206.61,196.56,194.43,201.66,190.65,200.04,183.96,181.58,167.46,160.14,204.31,156.98,162.99,155.07,165.93,164.24,181.0,221.65,177.78,167.82,155.23,119.11,133.98,118.87,127.48,134.21,117.98,126.6,130.23,109.43,104.69,106.23,100.37,97.73,91.85,92.38,89.81,89.52,85.66,115.35,94.15,96.55,101.15,105.0,136.31,97.32,82.75,65.1,70.16,57.2,53.4,49.7,46.3,43.2,40.2,37.4,34.8,32.4,30.3,28.5,27.0,25.7,24.5,23.4,22.3,21.4,20.6,19.9,19.1,18.2,17.4,16.6,15.9,15.4,15.0,14.5,13.9,13.4,12.8,12.4,11.9,11.5,11.1,10.7,10.4,10.1,9.8,9.6,9.3,9.0,8.6,8.1,7.5,7.0,6.5,6.1,5.8,5.6,5.5,5.4,5.2,5.1,4.9,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.2,4.1,4.1,4.0,3.9,3.9,3.646,3.53,3.422,3.324
77,French Guiana,Child mortality (under age five),guf,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.085,154.877,150.469,146.078,141.702,137.332,132.938,128.489,123.925,119.127,113.978,108.38,102.281,95.736,88.922,82.171,75.88,70.376,65.876,62.461,60.126,58.748,57.985,57.492,57.043,56.379,55.29,53.74,51.745,49.321,46.571,43.669,40.831,38.231,35.949,34.012,32.387,30.957,29.625,28.36,27.143,25.971,24.859,23.815,22.83,21.893,20.996,20.134,19.299,18.485,17.683,16.884,16.093,15.317,14.563,13.845,13.176,12.57,12.038,11.586,11.229,10.975,10.817,10.734,10.707,10.702,10.686,10.632,10.523,10.35,10.116
78,French Polynesia,Child mortality (under age five),pyf,u5mr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.362,155.938,145.621,136.367,128.175,121.041,114.944,109.841,105.661,102.282,99.556,97.309,95.351,93.505,91.645,89.714,87.735,85.797,83.947,82.149,80.378,78.609,76.786,74.831,72.66,70.125,67.071,63.464,59.341,54.787,49.931,44.938,40.025,35.404,31.236,27.703,24.94,22.897,21.468,20.557,19.969,19.467,18.849,17.984,16.829,15.44,13.962,12.601,11.509,10.731,10.269,10.075,10.031,10.033,10.027,9.967,9.825,9.612,9.342,9.016,8.643,8.24,7.834,7.449,7.096,6.785,6.522,6.296,6.1,5.93,5.783
79,Gabon,Child mortality (under age five),gab,u5mr,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.78,435.75,435.68,435.57,435.39,435.16,434.85,434.47,434.03,433.52,432.94,432.29,431.58,430.79,429.94,429.03,428.08,427.09,426.08,425.05,424.03,423.01,421.99,420.96,419.94,418.92,417.9,416.87,415.85,414.83,413.81,412.78,411.76,410.74,409.72,408.69,407.67,402.466,397.274,392.113,386.972,381.853,376.745,371.667,366.611,361.576,356.552,351.559,346.586,341.635,336.696,331.787,316.055,301.865,287.273,273.235,259.71,257.242,252.535,248.287,244.499,241.159,238.225,235.638,233.284,230.967,228.457,225.519,221.922,217.519,212.288,206.309,199.765,192.954,186.136,179.448,172.972,166.717,160.598,154.555,148.595,142.727,136.95,131.271,125.7,121.3,117.0,112.9,109.2,105.7,102.7,100.1,97.9,96.1,94.6,93.5,92.4,91.6,90.8,90.1,89.6,89.0,88.4,87.7,86.9,85.9,84.6,83.1,81.6,79.9,78.1,76.1,74.1,71.6,68.9,66.3,63.7,61.0,58.2,55.3,53.0,50.6,47.4,47.199,45.758,44.462,43.286
80,Gambia,Child mortality (under age five),gmb,u5mr,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.21,460.19,460.16,460.09,459.97,459.79,459.53,459.21,458.81,458.35,457.81,457.19,456.51,455.75,454.93,454.03,453.07,452.06,451.01,449.95,448.87,447.79,446.71,445.63,444.55,443.47,442.39,441.31,440.23,439.15,438.07,436.99,435.91,434.83,433.75,432.67,431.59,430.51,429.644,428.777,427.909,427.04,426.17,425.299,424.426,423.553,422.679,421.803,420.926,420.049,419.17,418.29,417.409,413.997,412.063,410.138,408.222,406.315,404.117,399.911,396.087,392.646,389.57,386.8,379.8,373.2,366.4,359.5,353.3,347.6,341.8,335.9,330.0,323.9,318.1,312.2,306.5,300.3,294.0,287.7,281.4,274.9,268.3,261.8,255.2,249.1,242.8,236.6,230.1,223.4,216.3,209.1,201.7,194.5,187.4,180.4,174.0,167.6,161.7,156.0,150.5,145.2,140.1,135.2,130.4,125.8,121.5,117.1,112.8,108.6,104.5,100.5,96.6,92.9,89.4,86.2,83.2,80.3,77.4,74.8,72.1,69.9,67.5,65.3,64.93,63.787,62.706,61.672
81,Georgia,Child mortality (under age five),geo,u5mr,396.8,395.97,395.142,394.316,393.492,392.669,391.848,391.028,390.211,389.395,388.581,387.768,386.957,386.148,385.341,384.535,383.731,382.929,382.128,381.329,380.532,379.736,378.942,378.15,377.359,376.57,375.782,374.997,374.213,373.43,372.649,371.87,371.092,370.317,369.542,368.77,367.998,367.229,366.461,365.695,364.93,364.167,363.406,362.646,361.888,361.131,360.376,359.622,358.87,358.12,357.371,356.624,355.878,355.134,354.391,353.65,352.911,352.173,351.437,350.702,349.968,349.237,348.506,347.778,347.051,346.325,345.601,344.878,344.157,343.437,342.719,342.003,341.287,340.574,339.862,339.151,338.442,337.734,337.028,336.323,335.62,334.918,334.218,333.519,332.822,332.126,331.431,330.738,330.047,329.357,328.668,327.981,327.295,326.611,325.928,325.246,324.566,323.887,323.21,322.534,321.86,318.704,315.578,312.484,309.419,306.385,303.38,300.405,297.459,294.542,291.654,288.794,285.962,283.157,280.381,277.631,274.909,272.213,269.543,266.9,264.283,261.691,259.125,256.584,254.067,251.576,249.109,246.666,244.247,241.852,239.48,231.743,224.256,217.011,210.0,203.215,196.65,190.297,184.149,178.199,172.442,166.871,161.48,156.263,151.214,146.329,141.601,137.027,132.6,128.316,124.17,119.552,115.106,110.825,106.703,102.735,98.914,95.235,91.693,88.283,85.0,83.794,82.605,81.433,80.277,79.138,78.016,76.909,75.817,74.742,73.681,72.636,71.605,70.589,69.587,67.2,65.2,63.1,61.1,59.2,57.3,55.6,54.0,52.6,51.3,50.1,49.3,48.6,48.1,47.7,47.2,46.7,46.2,45.6,44.8,43.8,42.6,41.2,39.5,37.6,35.5,33.3,31.1,28.8,26.6,24.6,22.6,20.8,19.2,17.8,16.5,15.3,14.2,13.2,12.3,11.4,10.7,10.802,10.601,10.393,10.149
